10th,12th,Diploma Marks,Overall CGPA,overall,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical ,Domain,Computer Fundamentals,Coding ,Written English,PLACED STATUS
76,70,0,8.56,78.10,0,516,53,67,40,53,30,47,0,76,Rinac India Limited/Skolar
90.08,0.6885,0,8.54,77.90,0,507,53,60,33,67,65,27,0,34,Printalytix/Wipro Ltd.
78,0.56,0,6.6,58.50,0,521,64,67,60,67,15,33,0,68,None
89.3,65.8,0,8.09,73.40,0,504,51,60,40,53,60,47,0,39,TCS Ltd.
88,78,0,6.21,54.60,3,406,27,27,13,40,10,33,14,66,None
10,87,0,8.704,79.54,0,548,64,73,60,60,45,47,0,45,TCS Ltd./Infosys Ltd./Rinac India Limited
84.96,54.66,0,7.02,62.70,1,469,47,53,27,60,20,33,0,37,Pinclick/Al-Muzain
88,86,0,7.1,63.50,0,478,44,40,47,47,0,40,0,42,Rinac India Limited/Printalytix
85,80,0,6.9,61.50,0,353,24,73,0,0,15,33,0,37,RL Institute of Nautical Science
0.8144,0.6766,0,6.31,55.60,0,433,38,40,27,47,45,0,0,0,Infosys Ltd.
75,0.62,0,6,52.50,2,491,51,67,20,67,45,53,0,48,Skolar/Al-Muzain
77.6,63.16,0,7.2,64.50,0,454,42,20,33,73,30,47,24,44,Capgemini
76.8,0.593,0,6.25,55.00,0,331,24,40,20,13,35,13,0,19,Al-Muzain
82.88,69.5,0,6.56,58.10,0,492,51,67,33,53,55,20,0,55,RL Institute of Nautical Science/Pinclick
0.98,0.76,0,6.91,61.60,0,462,40,60,33,27,30,40,0,64,None
84.32,0.6116,0,6.4,56.50,0,416,36,40,47,20,30,40,0,25,Healthians/Skolar
62.2,0.6,0,6.7,59.50,0,323,31,40,40,13,0,20,0,19,Windcare India Pvt. Ltd./Pinclick
92.16,0.8,0,8.23,74.80,0,532,58,47,60,67,15,53,14,55,TCS Ltd./Infosys Ltd.
71.04,58.66,0,5.6,48.50,2,370,29,27,33,27,20,33,0,50,None
82,72.48,0,6.95,62.00,0,466,44,47,40,47,0,40,0,32,None
92.48,0.835,0,8.33,75.80,0,490,47,53,33,53,0,33,0,62,Skolar/Amazon/Pinclick
79.2,62.5,0,7.13,63.80,0,459,47,67,33,40,15,27,0,33,RL Institute of Nautical Science/Glow Touch Technologies/Pinclick
80,0.7,0,6.7,59.50,0,441,40,67,33,20,15,33,0,29,None
95,0.674,0,8,72.50,0,512,56,60,53,53,25,33,0,56,Healthians/Glow Touch Technologies
75,68.5,0,6.76,60.10,0,394,33,27,33,40,35,27,0,9,RL Institute of Nautical Science
72,60,0,6.5,57.50,2,494,56,73,27,67,40,27,0,40,RL Institute of Nautical Science/Al-Muzain
7.8,80,0,6.95,62.00,0,455,40,53,20,47,30,53,0,72,Skolar
80,69,0,7,62.50,1,458,42,60,27,40,30,47,0,40,None
87.2,0.665,0,7.6,68.50,0,514,53,67,33,60,30,33,0,78,TCS Ltd./Rinac India Limited
83,0.79,0,7.5,67.50,0,485,49,53,33,60,25,33,0,46,None
98,0.79,0,8,72.50,0,379,31,27,20,47,30,20,0,30,Skolar/RL Institute of Nautical Science
67.68,0.5816,0,6.6,58.50,0,486,49,60,53,33,20,53,0,85,RL Institute of Nautical Science
59.67,0,67,6,52.50,3,437,31,20,27,47,15,67,0,18,Elcamino Software
53,0,61,6.4,56.50,1,442,42,47,27,53,30,7,14,36,None
68,87.5,70,6.82,60.70,0,284,29,47,20,20,5,0,0,18,Pinclick
78.72,0,68.62,6.8,60.50,0,446,38,40,47,27,0,40,0,81,None
69.5,75,78,5.6,48.50,0,322,27,47,13,20,25,7,0,28,None
85.12,62.83,0,6.12,53.70,0,346,24,40,7,27,15,27,0,32,Pinclick
65,65,0,6.25,55.00,3,453,44,47,33,53,40,40,0,42,None
89,82,0,4.8,40.50,3,430,38,47,27,40,30,20,0,0,Al-Muzain
69.12,61,0,6.3,55.50,2,347,24,27,33,13,25,33,0,36,Healthians/Pinclick
68,78,0,5.98,52.29,1,474,49,47,53,47,35,33,0,33,Byjus
92,59,0,0.51,55.00,0,280,9,27,0,0,0,7,0,0,None
79,64,0,4.10,33.50,0,284,31,27,20,47,0,0,0,0,None
66,61,5.2,0.42,32.82,0,466,47,60,33,47,50,20,0,62,None
74.73,75,4.67,0.39,35.71,0,335,22,27,13,27,0,33,0,0,None
6.6,58,5.5,1.02,26.92,0,280,11,33,0,0,0,13,0,0,None
65,59,0,5.97,52.24,0,320,27,40,20,20,0,20,0,33,Windcare India
72,70,0,4.86,41.11,2,349,33,40,33,27,0,33,0,46,None
90,72,0,4.66,39.09,2,451,42,33,40,53,0,20,0,53,None
70,59.8,0,6.30,55.45,0,509,53,67,27,67,50,60,0,81,None
75.2,62,0,6.21,54.64,0,309,31,27,40,27,0,13,0,0,None
79,61,0,5.77,50.17,3,479,49,67,33,47,40,40,0,50,None
84.48,81.83,0,7.87,71.19,0,521,56,60,47,60,40,47,0,43,None
75,60,0,1.55,7.97,0,291,24,27,20,27,0,0,0,0,None
80.48,51,5.2,2.35,15.97,0,440,40,27,40,53,55,53,0,55,None
84,76,0,4.52,37.67,2,289,27,27,27,27,0,0,0,0,None
60,66,0,5.38,46.28,0,474,51,60,33,60,50,40,0,29,None
89,65,0,5.65,48.97,0,230,0,0,0,0,5,33,9,73,None
92.32,84.66,0,7.85,71.04,0,544,56,67,33,67,60,53,0,78,None
84.6,63.13,0,7.12,63.69,0,551,60,67,47,67,55,60,0,84,Blocked(Printalytix)
83.68,69,0,6.73,59.81,0,498,51,60,27,67,50,27,0,46,Maini Precision Products LTD/Sakthi Auto Ancillary Pvt. Ltd.(SAAPL)
81.6,67.83,0,5.77,50.16,0,473,47,47,33,60,40,27,0,50,Byjus
87.36,80.83,0,7.57,68.19,0,557,60,53,40,87,55,60,0,72,Maini Precision Products LTD/Sakthi Auto Ancillary Pvt. Ltd.(SAAPL)
90.56,79.83,0,7.14,63.93,0,387,27,20,33,27,45,47,0,40,None
69.26,68.45,0,7.91,71.58,0,530,67,73,67,60,65,40,0,38,Infosys Ltd./TCS Ltd.
75,58,0,5.23,44.76,2,280,11,33,0,0,0,20,0,0,None
84.64,82.33,0,7.08,63.33,0,535,58,73,47,53,40,53,0,69,None
85.12,70,0,7.35,65.99,0,484,47,53,20,67,50,60,0,18,RUCHA Group
78,68,0,5.55,47.96,2,445,40,53,20,47,30,40,0,59,None
85,73,0,4.74,39.91,0,299,27,33,27,20,25,27,0,0,None
88,80,0,4.84,40.94,0,432,38,67,27,20,40,40,0,0,Maini Precision Products LTD
91,83,0,6.84,60.86,0,489,47,47,53,40,35,40,0,47,Technologics Global Pvt Ltd
87.4,80.8,0,7.78,70.33,0,572,69,67,53,87,50,53,0,69,None
86.4,71.83,0,7.11,63.58,0,491,47,47,40,53,60,53,0,47,None
84,70,0,7.39,66.41,0,577,73,73,60,87,40,60,0,75,Printalytix 
84.5,58.4,0,5.19,44.36,3,380,27,33,13,33,50,47,0,37,Windcare India
89.44,79.26,0,7.09,63.37,0,482,44,67,20,47,25,20,0,65,Windcare India
60,60,0,5.77,50.18,0,418,36,53,27,27,40,47,0,53,None
78.4,64.83,0,6.36,56.13,0,460,42,53,20,53,0,60,0,61,Maini Precision Products LTD
86.72,74.5,0,8.32,75.67,0,547,62,60,33,93,60,33,0,56,Windcare India
69.96,69.56,0,5.55,47.95,0,400,29,27,27,33,45,60,0,43,None
85,61.5,0,7.17,64.22,0,464,42,40,47,40,40,53,0,49,Windcare India
81.5,71.5,0,5.70,49.47,1,437,38,67,13,33,0,0,0,42,None
82.2,79,0,6.64,58.92,0,521,53,80,33,47,45,40,0,70,Evosys
77.12,68.66,0,6.19,54.36,0,458,47,67,20,53,35,20,0,0,Maini Precision Products LTD
75,64,0,4.28,35.32,0,342,31,33,20,40,15,20,0,0,Maini Precision Products LTD
0.83,67,0,5.34,45.92,0,248,4,13,0,0,20,13,0,0,None
75.84,73.5,0,6.64,58.92,0,429,36,27,47,33,30,40,0,34,Maini Precision Products LTD
77,75,0,7.13,63.81,0,432,38,27,47,40,0,40,0,0,Maini Precision Products LTD
83.3,69,0,7.19,64.39,0,382,33,27,20,53,35,20,0,51,Maini Precision Products LTD
75,60,0,5.29,45.44,0,446,42,47,47,33,30,40,0,33,None
78,64,0,5.84,50.88,0,367,29,33,20,33,30,33,0,44,None
71.52,72.67,0,7.24,64.87,0,520,56,53,53,60,30,47,0,76,Infosys Ltd.
87.2,82.16,0,6.90,61.46,0,446,40,33,60,27,0,33,0,31,Windcare India
78.24,52.5,0,5.94,51.94,0,436,42,53,27,47,10,7,0,0,Maini Precision Products LTD
84.96,70.33,0,6.19,54.36,0,395,31,40,20,33,35,27,0,51,Maini Precision Products LTD
79.84,82,0,6.60,58.54,0,502,51,67,27,60,30,40,0,40,Windcare India/Maini Precision Products LTD
85.25,80.16,0,6.77,60.23,0,451,38,40,40,33,25,33,0,69,Maini Precision Products LTD
66,66,0,6.88,61.29,0,329,27,13,27,40,20,20,0,28,Windcare India
84,64,0,6.84,60.86,0,409,33,33,33,33,35,33,0,46,Maini Precision Products LTD
87,82.5,0,6.42,56.70,0,428,31,27,33,33,30,47,0,0,None
88,63,0,5.93,51.82,0,373,31,20,33,40,30,20,0,33,None
78,71,0,6.21,54.61,1,361,29,33,13,40,30,47,0,30,None
82.56,79.82,6.2,6.30,55.51,0,451,40,60,27,33,25,13,0,76,Ola Cars(Cocubes)
80.8,67,0,6.23,54.78,0,346,20,7,13,40,15,27,0,47,None
72,71,0,6.57,58.23,1,491,53,60,47,53,30,13,0,52,Elcamino Software Pvt Ltd/Maini Precision Products LTD
80.08,79,0,7.38,66.31,0,484,44,60,20,53,45,33,0,62,TCS Ltd.
78,69,0,6.05,53.04,0,475,49,33,40,73,30,27,0,36,Maini Precision Products LTD
92,81,0,7.15,64.01,0,491,47,73,0,67,0,47,0,61,Elcamino Software Pvt Ltd
57.6,50.1,0,6.01,52.64,0,425,33,53,13,33,40,40,0,60,None
81,78,0,7.50,67.45,0,368,33,40,13,47,25,20,0,37,Elcamino Software Pvt Ltd
79,69,0,7.16,64.08,0,488,47,40,33,67,0,40,0,89,Infosys Ltd.
66,54,0,5.43,46.77,0,412,31,47,20,27,25,47,0,32,None
78,69,5.4,5.50,47.50,0,298,13,40,0,0,15,27,0,0,Maini Precision Products LTD
90.08,67,0,7.33,65.80,0,315,29,20,33,33,40,40,0,0,None
68.4,75.33,0,6.49,57.35,0,328,18,53,0,0,55,33,0,47,None
74,80,0,5.35,45.96,0,455,42,33,33,60,20,40,0,47,None
53,69,0,6.83,60.76,1,413,36,27,27,53,0,33,0,0,None
84,76,0,7.53,67.83,0,507,49,33,27,87,40,40,2,75,Phable Care/Elcamino Software Pvt Ltd./HMW Communication
81.44,64,0,6.51,57.57,0,455,42,40,20,67,25,27,9,33,None
70,58,0,7.71,69.63,0,505,56,40,53,73,40,47,0,53,None
87,78,0,6.67,59.17,0,509,51,53,47,53,25,40,0,75,Phable Care
62.7,63.6,0,6.49,57.36,0,434,38,40,27,47,35,33,0,50,Windcare India
89.6,67.3,0,5.68,49.27,1,356,27,27,20,33,25,20,0,45,Maini Precision Products LTD
60,62,0,5.54,47.89,0,299,33,47,20,33,15,0,0,0,None
87,67,0,7.08,63.33,0,505,51,87,27,40,30,47,0,61,None
91.2,69,0,7.23,64.75,0,560,64,80,40,73,60,53,0,67,Qspiders
77.92,76,0,6.70,59.46,0,460,42,47,20,60,30,27,0,31,None
91.04,82.83,0,6.90,61.46,0,457,38,47,13,53,20,27,0,66,None
85,70,0,5.47,47.17,0,471,44,40,40,53,15,53,0,46,None
89.3,88.2,0,7.69,69.39,0,501,49,60,47,40,35,53,10,36,None
89,79,0,6.62,58.71,0,508,53,33,40,87,35,40,0,43,Elcamino Software Pvt Ltd/Cocubes NW
80,70,0,6.62,58.73,0,447,40,40,33,47,30,20,0,28,None
429,63,0,5.62,48.72,0,424,36,33,47,27,25,20,0,52,None
73,64,0,5.17,44.22,0,332,27,33,40,7,0,33,0,33,Maini Precision Products LTD
70.4,70.68,0,5.34,45.86,5,373,33,33,53,13,25,27,0,12,None
76,63,0,6.22,54.67,0,463,33,40,33,27,50,47,0,46,Maini Precision Products LTD
80,74,0,6.43,56.79,3,537,58,67,53,53,70,60,0,71,PlanetSpark/Consultadd
92.3,78,0,7.29,65.37,0,480,42,53,27,47,20,53,0,60,None
81.28,73.83,0,7.58,68.26,0,453,38,47,27,40,45,27,0,56,None
83,71,0,6.94,61.91,0,451,40,47,27,47,0,53,0,27,Elcamino Software Pvt Ltd
84.3,79,0,8.17,74.23,0,481,44,53,47,33,35,27,0,50,Maini Precision Products LTD
76,71,0,6.25,54.97,0,448,42,40,53,33,45,27,0,28,None
79,78,0,6.76,60.06,0,350,27,13,47,20,10,40,0,36,Byjus
79,55,0,6.02,52.72,0,340,20,20,20,20,0,20,0,0,None
77,75,0,6.31,55.62,0,476,44,60,13,60,30,33,0,62,Elcamino Software Pvt Ltd
81.8,62.7,0,6.19,54.36,0,450,44,53,33,47,0,40,0,0,None
93,78,0,5.81,50.55,2,496,49,73,33,40,45,47,0,44,Maini Precision Products LTD
75.68,72.53,0,6.29,55.42,0,437,38,53,27,33,0,47,0,52,BankBazaar.com
73,73,0,6.91,61.61,0,388,31,47,20,27,30,27,0,30,Maini Precision Products LTD
80.16,83.33,0,5.65,48.97,4,442,33,20,40,40,45,40,0,54,Maini Precision Products LTD
88.32,70,0,6.81,60.61,0,448,42,33,53,40,40,27,0,32,None
75,63,0,3.89,31.39,0,277,29,27,20,40,0,0,0,0,None
76,0,56,4.42,36.72,0,479,53,53,60,47,0,60,0,49,None
61,0,0,1.98,12.30,0,479,49,47,40,60,0,33,0,71,None
59,60,0,4.48,37.30,4,429,38,40,20,53,0,33,0,65,None
83.52,74.16,0,7.62,68.70,0,441,36,47,27,33,0,27,0,55,None
90,60,0,6.10,53.46,1,326,33,53,13,33,0,1,0,0,Byjus
89.5,82,0,7.81,70.61,0,484,42,40,20,67,0,20,0,83,None
62.56,83.33,0,7.99,72.42,0,471,42,40,33,53,0,53,0,74,None
78,69,0,6.17,54.16,1,345,20,20,27,13,0,27,0,33,Byjus/PlanetSpark/Rupeek(Cocubes)
82.3,85,0,7.65,68.99,1,467,42,20,47,60,0,27,0,21,None
80,84,0,6.92,61.69,2,455,40,40,0,80,0,27,0,43,None
84.8,80.66,0,8.09,73.38,0,482,42,47,40,40,0,60,0,61,Elcamino Software Pvt Ltd/Seventh Sense/SSI People
75.6,76.8,0,8.06,73.09,0,505,58,73,47,53,0,20,0,20,TCS Ltd.(Ninja)
81.44,84.5,0,8.02,72.72,0,507,51,67,53,33,0,33,0,49,Phable Care/Vee Technologies
76,84,0,7.52,67.66,0,537,58,60,40,73,0,47,0,67,None
87.4,91,0,8.94,81.91,0,550,56,67,47,53,0,60,0,79,None
84,68,0,7.33,65.85,0,457,40,53,27,40,0,80,0,34,Elcamino Software Pvt Ltd
72,75,0,7.51,67.63,0,527,58,80,33,60,0,47,0,59,PlanetSpark/Quality Kiosk
70,70,0,7.31,65.59,0,406,31,27,27,40,0,33,0,32,Elcamino Software Pvt Ltd/TCS Ltd.
68.64,66,0,6.64,58.87,0,483,47,47,53,40,0,67,0,64,Elcamino Software Pvt Ltd
91.84,81.51,0,7.82,70.74,0,458,38,33,33,47,0,33,0,65,Elcamino Software Pvt Ltd
74.24,67.68,0,6.15,54.01,0,426,36,20,40,47,0,47,0,34,None
80,75.5,0,7.57,68.25,0,475,44,40,40,53,0,47,0,30,None
82.88,76.66,0,7.39,66.42,0,470,42,47,27,53,0,40,0,38,Elcamino Software Pvt Ltd
93.12,80,0,7.60,68.51,0,539,56,67,73,27,0,73,0,80,None
75,68,68,4.58,38.30,0,442,38,40,13,60,0,53,0,58,None
65,55,0,6.4,56.50,1,295,13,13,13,13,0,20,0,12,None
90,84,0,8.24,74.90,0,484,44,60,40,33,0,47,0,37,None
90.4,61,0,7.4,66.50,0,402,31,40,27,27,0,33,0,20,None
76.64,70.33,0,7,62.50,1,488,47,80,20,40,0,53,0,75,TCS LtD/Elcamino Software Pvt Ltd/Seventh Sense
84.32,83,0,6.5,57.50,0,458,42,53,13,60,0,33,0,22,None
56.67,52,0,6.2,54.50,0,343,22,20,20,27,0,13,0,42,None
92.16,79.5,0,7.93,71.80,0,552,60,67,60,53,0,67,0,67,None
100,82,0,7.3,65.50,1,444,36,33,40,33,0,53,14,71,None
92,84,0,8.2,74.50,0,489,47,60,27,53,0,33,0,50,Skolar/RL Institute of Nautical Science
93.44,85,0,9.56,88.10,0,537,53,60,40,60,0,40,0,76,None
76,72,0,6.65,59.00,0,424,27,7,27,47,0,33,0,82,Infosy Ltd./RL Institute of Nautical Science
77.74,61.6,0,6.29,55.40,1,318,29,20,33,33,0,20,0,25,None
60,58,0,6.2,54.50,3,429,40,60,27,33,0,40,0,36,None
94.5,63.16,0,7.23,64.80,0,509,53,53,47,60,0,60,0,47,Infosys Ltd./Capgemini/RL Institute of Nautical Science
95.84,82.5,0,8.5,77.50,0,302,29,33,27,27,0,40,0,0,Windcare India Pvt. Ltd./RL Institute of Nautical Science
89.44,81,0,7.75,70.00,0,397,33,20,20,60,0,27,0,67,Wipro Ltd.
84.64,87,0,8.6,78.50,0,507,49,47,33,67,0,73,0,38,RL Institute of Nautical Science
82.24,64.83,0,7.16,64.10,0,439,38,33,20,60,0,33,0,56,RL Institute of Nautical Science
85.5,71.6,0,7.3,65.50,0,445,38,60,20,33,0,67,0,34,SSI People/Pinclick
94,78,0,7.6,68.50,0,487,56,80,40,47,0,0,0,0,Wipro Ltd./RL Institute of Nautical Science
83.2,81.17,0,8.2,74.50,0,480,47,47,40,53,0,33,0,25,None
87.68,83.16,0,7.2,64.50,0,356,24,33,7,33,0,13,0,41,None
82.88,76.66,0,7.9,71.50,0,520,56,47,47,73,0,53,0,43,Pinclick
93.6,68.66,0,8.88,81.30,0,532,53,53,27,80,0,60,0,63,Wipro Ltd./Infosys Ltd./RL Institute of Nautical Science
86.88,85.33,0,7.6,68.50,0,300,29,53,13,20,0,40,0,0,Wipro Ltd.
89,70,0,6.7,59.50,1,463,44,53,33,47,0,27,0,40,Wipro Ltd./Upskillz
92.16,75.55,0,7.1,63.50,0,455,40,40,33,47,0,53,0,14,TCS Ltd./RL Institute of Nautical Science
85.12,86.33,0,7.86,71.10,0,517,49,67,33,47,0,60,0,75,Wipro Ltd./RL Institute of Nautical Science
95.2,90.3,0,8.56,78.10,0,557,56,80,47,40,0,80,0,82,RL Institute of Nautical Science
84,70,0,5.6,48.50,3,363,24,20,27,27,0,40,14,30,Infosys Ltd./Skolar
80.48,69.79,0,5.6,75.00,2,415,36,53,27,27,0,20,0,0,RL Institute of Nautical Science
92,65,0,7.1,63.50,0,430,36,33,33,40,0,47,0,31,Chegg India/Infosys Ltd.
88.96,78.83,0,7.21,64.60,0,520,58,67,33,73,0,27,0,43,TCS Ltd./Wipro Ltd./RL Institute of Nautical Science
75.85,72.85,0,7.4,66.50,0,440,38,53,20,40,0,53,0,50,None
62.56,0,68.7,7.4,76.10,1,297,24,27,20,27,0,0,0,0,None
78,69.73,0,6.29,55.40,1,442,40,53,27,40,0,53,0,65,None
85,70,0,6.29,78.60,7,430,36,47,20,40,0,33,0,53,Intellipaat Software Solutions/RL Institute of Nautical Science
93,79,0,6.29,70.50,0,499,49,67,47,33,0,27,0,65,Skolar
